,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,BR1,51.41073119045307,0.019414597396335633,Cinnamon Culture,51.414196,0.020883,Indian Restaurant
1,BR1,51.41073119045307,0.019414597396335633,Anglesey Arms,51.40870291155604,0.020846128463745117,Pub
2,BR1,51.41073119045307,0.019414597396335633,O'Neill's,51.40709108166277,0.01578432643531757,Irish Pub
3,BR1,51.41073119045307,0.019414597396335633,The Lavender House,51.414277204615665,0.019808021348868634,Café
4,BR1,51.41073119045307,0.019414597396335633,Cow and Pig,51.40740142611505,0.01643757560106593,English Restaurant
5,BR1,51.41073119045307,0.019414597396335633,The Railway Tavern,51.40790174662663,0.016724847549452544,Bar
6,BR1,51.41073119045307,0.019414597396335633,Buddha Kitchen,51.40644760320365,0.019523681720296907,Buffet
7,BR1,51.41073119045307,0.019414597396335633,Crown & Anchor,51.407753,0.021074,Pub
8,BR1,51.41073119045307,0.019414597396335633,Sundridge Park Railway Station (SUP),51.413741881732136,0.021457672119140625,Train Station
9,BR1,51.41073119045307,0.019414597396335633,Widmore Road,51.406499164555385,0.0191366999061099,Bus Station
10,BR1,51.41073119045307,0.019414597396335633,La Senza,51.40641712142632,0.01837250771499007,Lingerie Store
11,BR2,51.39037744515663,0.021640160968661008,Nuffield Health Fitness & Wellbeing Centre,51.391008670824654,0.01969893662303903,Gym / Fitness Center
12,BR2,51.39037744515663,0.021640160968661008,Norman Park,51.38821069759845,0.022141638025829614,Park
13,BR2,51.39037744515663,0.021640160968661008,Bromley Football Club,51.39022022058604,0.02052165289015134,Soccer Stadium
14,BR2,51.39037744515663,0.021640160968661008,Nuffield Health Fitness & Wellbeing Gym,51.391092733863,0.0176863766596182,Gym
15,BR2,51.39037744515663,0.021640160968661008,Bromley parkrun,51.389364976476664,0.026092529296875,Athletics & Sports
16,BR3,51.40342791503666,-0.03169529164677815,Croydon Road Recreation Ground,51.403943937424,-0.033027917266017295,Park
17,BR3,51.40342791503666,-0.03169529164677815,Q Bar and Kitchen,51.406523950791836,-0.028859079120635674,Mediterranean Restaurant
18,BR3,51.40342791503666,-0.03169529164677815,Dizzy's Diner,51.40666774695758,-0.03023986339995316,Diner
19,BR3,51.40342791503666,-0.03169529164677815,Wild Mango,51.40678220171422,-0.03197193145751953,Indian Restaurant
20,BR3,51.40342791503666,-0.03169529164677815,Big Catch,51.406781675057275,-0.028081309501932217,Fish & Chips Shop
21,BR3,51.40342791503666,-0.03169529164677815,Kebab Ye,51.40681083122236,-0.031375910179095905,Kebab Restaurant
22,BR3,51.40342791503666,-0.03169529164677815,Hisar Meze Bar,51.40688596097687,-0.03217159505236191,Mediterranean Restaurant
23,BR3,51.40342791503666,-0.03169529164677815,Nando's,51.4065232,-0.0307429,Portuguese Restaurant
24,BR3,51.40342791503666,-0.03169529164677815,Starbucks,51.406618,-0.028772,Coffee Shop
25,BR3,51.40342791503666,-0.03169529164677815,Bricklayers Arms,51.40673455542075,-0.03173931996973059,Pub
26,BR3,51.40342791503666,-0.03169529164677815,Lidl,51.4066833186864,-0.0279863019590972,Supermarket
27,BR3,51.40342791503666,-0.03169529164677815,Love 'A' Slice,51.40666839600496,-0.030323636095736385,Café
28,BR3,51.40342791503666,-0.03169529164677815,Sainsbury's,51.40590508119254,-0.03057339651864277,Supermarket
29,BR3,51.40342791503666,-0.03169529164677815,Superdrug,51.406902137498,-0.02809892751703774,Pharmacy
30,BR3,51.40342791503666,-0.03169529164677815,Subway,51.40677006789645,-0.030562461414092468,Sandwich Place
31,BR3,51.40342791503666,-0.03169529164677815,PizzaExpress,51.406507410922714,-0.030440795340041404,Pizza Place
32,BR3,51.40342791503666,-0.03169529164677815,The White Horse,51.4067210654245,-0.03101284089957266,Bar
33,BR3,51.40342791503666,-0.03169529164677815,Odeon,51.40713124951583,-0.031209271163902486,Movie Theater
34,BR3,51.40342791503666,-0.03169529164677815,Tesco Express,51.4066754,-0.0327032,Grocery Store
35,BR3,51.40342791503666,-0.03169529164677815,Zizzi,51.40636892379852,-0.0286855686998706,Italian Restaurant
36,BR3,51.40342791503666,-0.03169529164677815,Costa Coffee,51.40686439841901,-0.02810602558762238,Coffee Shop
37,BR3,51.40342791503666,-0.03169529164677815,Kingfisheries Aquarium Ltd,51.4031731,-0.0366265,Pet Store
38,BR3,51.40342791503666,-0.03169529164677815,Nemo's Fish & Chips,51.4026107448591,-0.03713385030074123,Fish & Chips Shop
